Parameters,Group ID,Image
"[80.69554700986308, 56.50852652426938, 0.35410193822589064, 0.2048507952606588, 5.469094970074877]",254,4
NULL,254,5
"[82.243804291312, 58.13496661288637, 0.44475593325389, 0.23187193395251965, 5.974323286476476]",254,6
NULL,254,7
"[83.42929145609477, 59.372869007297425, 0.4509383528679933, 0.23611807934647572, 6.51583024240233]",254,8
NULL,254,9
"[85.32779665688761, 61.36504188604269, 0.48207540530761417, 0.2305212472284417, 13.47911248262227]",254,10
NULL,254,11
NULL,254,12
NULL,254,13
NULL,254,14
"[89.67539410148282, 66.24068017321957, 0.5244608011639488, 0.2767171286155602, 10.44075175932528]",254,15
"[90.59342979527372, 67.16311676555675, 0.51244981520925, 0.33675343785662504, 10.036902453953417]",254,16
NULL,254,17
NULL,254,18
"[93.32101108260382, 70.15021107708755, 0.6061433455770107, 0.371651902758208, 11.309932474019092]",254,19
"[95.36037465719055, 72.47705551775904, 0.6152297110208572, 0.315791326448187, 15.080114969314366]",254,20
"[96.45272365264687, 73.66946345547214, 0.599319127000263, 0.35257598477985497, 16.67327688444118]",254,21
"[97.63347613095803, 74.90673419275417, 0.70753504670177, 0.4277271361130813, 9.334998463130148]",254,22
"[98.76069848287196, 76.25363801138798, 0.6973015852960133, 0.4283812020794131, 15.862503934994152]",254,23
NULL,254,24
