Parameters,Group ID,Image
"[  54.20806772478706,  67.69446632476007,  0.4855645671886677,  0.3418541066915992,  0 ]",	7,	0
"[  54.313388412634886,  68.63371326151099,  0.5678500682591405,  0.3381283276201259,  0 ]",	7,	1
"[  54.45104286636992,  69.62070610471876,  0.4976795418259317,  0.3627587453206907,  3.215483991734118 ]",	7,	2
"[  54.515951052351056,  70.64973104932584,  0.5719564220585269,  0.3493061235745074,  0 ]",	7,	3
"[  54.59098582368279,  71.73080986745084,  0.6191135142044714,  0.4119971203337327,  1.46880071438693 ]",	7,	4
"[  54.825973285704436,  74.10900434105,  0.6102956108381292,  0.3999189609788658,  0 ]",	7,	5
"[  54.972156299065766,  75.33349611168569,  0.6170346961510186,  0.4597818730517601,  4.267893300286403 ]",	7,	6
"[  55.073182195127934,  76.6651885388955,  0.661106654405039,  0.44989518974928466,  3.8785245028449253 ]",	7,	7
"[  55.22257355152711,  78.03762152951494,  0.644417604805113,  0.5196371413318418,  1.593333816904419 ]",	7,	8
"[  55.37990356095022,  79.53037832961108,  0.6792950005154808,  0.485366594264363,  0 ]",	7,	9
"[  55.65529483685198,  82.66719721902976,  0.7007134830927588,  0.5298830793046533,  0 ]",	7,	10
"[  55.82313096080974,  84.34618060159511,  0.7699413373864697,  0.5938204100766546,  0 ]",	7,	11
"[  56.0022102016694,  86.14707706962818,  0.7384281085255816,  0.608822601629138,  6.00900595749664 ]",	7,	12
"[  56.17483007013179,  88.03443297454014,  0.7655465820985796,  0.6251367533725869,  0 ]",	7,	13
"[  56.36017061109675,  89.99219741177362,  0.8115349179650622,  0.7275662317419029,  3.8424531279161442 ]",	7,	14
"[  56.79429543564227,  94.46073343288043,  0.8295934590973103,  0.7438823207642571,  0 ]",	7,	15
"[  57.01898845913567,  96.8104967709358,  0.8532593787705092,  0.8359141423133275,  7.666804261810455 ]",	7,	16
"[  57.21934055043384,  99.23594396810023,  0.8631537713160288,  0.7640560318997502,  0 ]",	7,	17
