CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
04-1-000300,43.5244,288.344,43.5249,288.345,22.2314,0.671407,22.7367,21.5683,0.316434,1.05417,69.1102,0.00142011,0.00193709,0.106015,0.10337,4.16104,0.0190154,0.00704885,1,317
04-1-000311,42.3756,285.25,42.3756,285.249,7.72484,0.208851,8.30715,7.12622,0.513913,1.16572,68.9752,0.000440707,0.00055895,0.0327752,0.0305099,1.24926,0.00833684,0.00678686,1,97
04-1-000326,41.027,281.883,41.0237,281.902,61.3577,1.03218,63.5321,58.1734,0.40197,1.09212,95.9088,0.000985258,0.00151043,0.0748212,0.0906722,0.635551,0.00407467,0.00213351,0.706048,495
04-1-000327,40.7743,283.034,40.7713,283.037,11.163,0.232987,11.7072,10.8566,0.374214,1.07835,115.249,0.000754944,0.000865615,0.0651496,0.0363972,2.42041,0.0149299,0.00700579,0.801574,106
04-1-000328,39.7471,280.246,39.748,280.246,24.5003,0.462812,25.3481,23.6281,0.36208,1.07279,80.6423,0.000708623,0.000886482,0.0519676,0.0500214,1.42432,0.00707209,0.00316155,1,297
04-1-000329,40.0357,282.515,40.0371,282.516,9.51943,0.169686,9.70994,9.20515,0.318233,1.05484,158.63,0.000677725,0.000923951,0.0423967,0.0580398,4.52237,0.0216592,0.00808997,0.80508,91
04-1-000330,39.9167,282.371,39.9176,282.37,5.29711,0.122451,5.68277,5.00285,0.474317,1.13591,143.007,0.000333439,0.000441147,0.0291853,0.0218857,1.58035,0.0110234,0.00766325,0.882729,63
04-1-000331,40.3846,284.531,40.3853,284.53,14.4045,0.296285,15.0312,13.7134,0.40945,1.09609,64.5768,0.000610125,0.00079256,0.0453545,0.0450674,1.58852,0.00906949,0.00489018,1,174
04-1-000332,41.7719,284.342,41.7725,284.341,7.58335,0.114545,7.76044,7.44348,0.282875,1.04258,126.031,0.000501927,0.000679071,0.0431494,0.0331923,5.13933,0.0231803,0.00743094,0.880944,88
04-1-000340,40.4725,286.362,40.4638,286.355,7.68366,0.124318,7.81311,6.84724,0.481625,1.14106,154.892,0.000881863,0.00108787,0.0287053,0.0776613,2.02848,0.0190121,0.013604,0.688701,64
04-1-000341,39.7346,285.574,39.7345,285.574,6.67762,0.0992337,6.86458,6.49808,0.322382,1.0564,148.724,0.000250594,0.0003423,0.0199227,0.0185175,2.39992,0.0113055,0.00429681,1,88
04-1-000342,39.7311,285.022,39.7311,285.022,6.3771,0.0779739,6.43306,6.3139,0.191583,1.01887,29.1257,0.000343058,0.000466003,0.0266755,0.0260153,10.0357,0.0293923,0.00595597,1,89
04-1-000343,39.3767,282.774,39.3886,282.77,9.16115,0.164907,9.31549,8.14442,0.485409,1.14379,17.2254,0.000789778,0.000517223,0.0236098,0.0611693,1.13552,0.0124822,0.00906646,0.713119,66
04-1-000344,39.8948,283.073,39.8952,283.071,8.4594,0.159688,8.87911,8.144,0.398407,1.09026,134.404,0.000379354,0.000707636,0.0377124,0.0265076,2.2517,0.0112992,0.00583407,0.820761,81
04-1-000361,38.1587,281.072,38.1575,281.07,29.1412,0.475597,29.8112,28.3697,0.307195,1.05081,145.283,0.000844206,0.00110606,0.066477,0.0683638,1.91029,0.00967913,0.00345004,0.924794,290
04-1-000364,38.4199,282.598,38.4213,282.585,8.5965,0.333431,9.20311,7.35229,0.601475,1.25173,98.1316,0.000409521,0.000749911,0.0273049,0.0422164,0.89234,0.00685809,0.00809015,0.749861,75
04-1-000365,38.3971,282.811,38.397,282.811,6.14999,0.0945547,6.40958,5.91291,0.385971,1.084,37.676,0.000285128,0.000441633,0.0237711,0.0207281,2.38729,0.0112522,0.00553193,0.891185,63
04-1-000376,37.4636,299.303,37.4636,299.303,10.3245,0.0772081,10.461,10.1903,0.226019,1.02656,164.483,0.000186866,0.000244485,0.0144996,0.0138721,2.43226,0.00815644,0.00199437,1,129
