selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-000300, 396489.84668585, -1195723.50602420, 1196494.82180919, 22.74, 21.57, 1.21
04-1-000311, 337576.61087907, -1238301.83734677, 1170986.48643399, 8.31, 7.13, 1.20
04-1-000328, 237609.59116492, -1314522.34124532, 1110914.69364365, 25.35, 23.63, 1.41
04-1-000331, 332020.07658976, -1281058.89253015, 1125704.02087350, 15.03, 13.71, 1.13
04-1-000341, 358716.08725525, -1287031.21721452, 1110599.91655843, 6.86, 6.50, 2.60
04-1-000342, 346317.17400725, -1290491.03294738, 1110520.62964631, 6.43, 6.31, 0.51
04-1-000361, 262310.83271148, -1340724.96746520, 1073409.68351214, 29.81, 28.37, 2.54
04-1-000376, 674942.77856233, -1202586.33951682, 1056786.21379827, 10.46, 10.19, 2.87
04-1-000378, 401766.53478400, -1328954.39785356, 1044520.28221253, 29.20, 26.56, 1.14
04-1-000399, 664702.82141219, -1251019.50652112, 1005822.60538841, 10.05, 9.68, 2.07
04-1-000732, 304017.97699952, -1258870.57770652, 1158178.18069845, 18.53, 14.78, 0.30
04-1-074510, 254569.10829257, -1399276.20735209, 997887.48095238, 3.18, 3.11, 1.48
04-1-074537, 250881.87987634, -1397281.11928708, 1001609.96202791, 1.11, 0.98, 2.02
04-1-074568, 264080.26824398, -1398274.15884796, 996819.81753084, 1.06, 1.00, 0.66
04-1-074572, 265802.87114787, -1395769.61728204, 999867.37578636, 2.42, 2.22, 1.76
04-1-074573, 270194.65954964, -1395100.28113691, 999624.33519926, 5.52, 4.85, 2.18
04-1-074575, 274887.68679451, -1394414.30489707, 999301.88929431, 1.57, 1.47, 1.11
04-1-074606, 289336.85561613, -1392625.33945840, 997716.19606006, 1.11, 0.97, 1.59
04-1-074607, 289730.50924238, -1391593.05970074, 999041.41466052, 1.17, 0.95, 1.80
04-1-074608, 287709.50892196, -1392355.85691204, 998562.54996801, 1.24, 1.16, 1.34
04-1-074609, 285694.33939036, -1393522.90071476, 997512.62128548, 1.09, 0.98, 1.40
04-1-074611, 292428.89625087, -1391646.52508290, 998180.36940334, 1.05, 0.95, 1.44
04-1-074695, 361809.75606018, -1374152.30653635, 999678.89787696, 1.05, 1.02, 0.46
04-1-074704, 348021.22679497, -1366437.67152221, 1015031.07122152, 1.14, 1.12, 1.61
04-1-074712, 351156.82149125, -1370644.51852077, 1008256.54005770, 3.62, 3.54, 2.24
04-1-074713, 362303.75134248, -1368942.58647650, 1006623.53772112, 1.18, 0.96, 1.69
04-1-074742, 411860.52998541, -1357125.30981925, 1003563.92785320, 1.52, 1.41, 0.26
04-1-074767, 453124.60892960, -1348612.31593781, 997237.01800688, 1.46, 1.31, 2.17
04-1-074770, 442035.21809656, -1351769.27181346, 997939.60826456, 2.15, 1.89, 2.83
04-1-074798, 513890.31489705, -1324819.74501626, 999664.01729284, 1.15, 1.10, 2.39
04-1-074830, 555450.54812814, -1310021.34698648, 996934.05951641, 1.06, 1.03, 0.52
04-1-074917, 647144.75020301, -1263489.57338621, 1001676.85918614, 1.61, 1.51, 0.58
04-1-074974, 724139.59002878, -1224989.87110867, 996785.04695552, 1.30, 1.20, 0.21
04-1-075035, 844785.62969138, -1141787.28131720, 1000608.71677655, 1.21, 1.12, 0.80
04-1-075062, 869746.73435392, -1119050.97040941, 1004900.14613714, 1.27, 1.22, 2.04
04-1-075063, 879777.81288790, -1117235.62371367, 998165.47779179, 1.60, 1.45, 2.47
04-1-075097, 896125.36408207, -1098366.80019169, 1004543.90849054, 1.26, 1.15, 0.52
04-1-075098, 903124.05441688, -1099911.68556114, 996554.05588441, 1.59, 1.54, 2.51
04-1-075099, 896695.98659266, -1103541.56516385, 998344.16990552, 2.99, 2.84, 0.44
